ID,Total_steps,Total_calories
1644430081,311237,113503
7086361926,363772,105681
4702921684,384885,134254
3977333714,433504,62187
6391747486,12032,15868
6290855005,180018,97045
3372868164,198508,57265
8877689391,706246,147442
2026352035,213286,64026
5577150313,343823,137092
4319703577,319181,87099
4020332650,255135,172372
4057192912,75743,68808
8053475328,620950,123145
4445114986,213089,99389
6962181067,480595,90692
8792009665,90897,81791
2022484408,498589,107513
8378563200,367872,146808
1927972279,54570,94405
2320127002,183884,71834
2891001357,6189,18187
5553957443,367247,79776
7007744171,441533,97669
1503960366,596789,90437
8583815059,247518,103823
4558609924,307662,84993
2873212765,313868,79775
4388161847,335232,110352
6775888955,115543,79949
1624580081,258360,71689
1844505072,123669,68169
6117666160,279794,84305
2347167796,318355,67102
8253242879,151840,51528
