Date,Used_by_user
3/12/2016,2
3/13/2016,2
3/14/2016,2
3/15/2016,2
3/16/2016,2
3/17/2016,2
3/18/2016,2
3/19/2016,2
3/20/2016,2
3/21/2016,2
3/22/2016,2
3/23/2016,2
3/24/2016,2
3/25/2016,4
3/26/2016,4
3/27/2016,4
3/28/2016,4
3/29/2016,10
3/30/2016,11
3/31/2016,11
4/1/2016,34
4/2/2016,35
4/3/2016,35
4/4/2016,35
4/5/2016,35
4/6/2016,33
4/7/2016,33
4/8/2016,33
4/9/2016,32
4/10/2016,29
4/11/2016,25
4/12/2016,33
4/13/2016,33
4/14/2016,33
4/15/2016,33
4/16/2016,32
4/17/2016,32
4/18/2016,32
4/19/2016,32
4/20/2016,32
4/21/2016,32
4/22/2016,32
4/23/2016,32
4/24/2016,32
4/25/2016,32
4/26/2016,32
4/27/2016,32
4/28/2016,32
4/29/2016,32
4/30/2016,31
5/1/2016,30
5/2/2016,29
5/3/2016,29
5/4/2016,29
5/5/2016,29
5/6/2016,29
5/7/2016,29
5/8/2016,27
5/9/2016,27
5/10/2016,26
5/11/2016,24
5/12/2016,21
